dataset	variant	seed	start_time	end_time	total_seconds	best_dev	test_after_training
beauty	MyModelV2_DualSICR_global_only_b000_r02_seed42	42	2026-06-07 22:57:19	2026-06-07 23:29:34	1935	Best Iter(dev)= 31 dev=(HR@5:0.1930,NDCG@5:0.1347) [1905.2 s] 	Test After Training: (HR@5:0.1515,NDCG@5:0.1039,HR@10:0.2174,NDCG@10:0.1252,HR@20:0.3009,NDCG@20:0.1463,HR@50:0.4322,NDCG@50:0.1723)
beauty	MyModelV2_DualSICR_global_local_b003_r02_seed42	42	2026-06-07 23:29:34	2026-06-08 00:02:01	1947	Best Iter(dev)= 31 dev=(HR@5:0.1930,NDCG@5:0.1347) [1916.7 s] 	Test After Training: (HR@5:0.1509,NDCG@5:0.1037,HR@10:0.2167,NDCG@10:0.1249,HR@20:0.3013,NDCG@20:0.1462,HR@50:0.4318,NDCG@50:0.1721)
ml-1m	MyModelV2_DualSICR_global_only_b000_r02_seed42	42	2026-06-08 00:02:01	2026-06-08 04:23:26	15685	Best Iter(dev)= 74 dev=(HR@5:0.3407,NDCG@5:0.2419) [15670.9 s] 	Test After Training: (HR@5:0.3232,NDCG@5:0.2264,HR@10:0.4402,NDCG@10:0.2641,HR@20:0.5747,NDCG@20:0.2982,HR@50:0.7267,NDCG@50:0.3285)
ml-1m	MyModelV2_DualSICR_global_local_b002_r02_seed42	42	2026-06-08 04:23:26	2026-06-08 08:47:26	15840	Best Iter(dev)= 78 dev=(HR@5:0.3445,NDCG@5:0.2441) [15824.8 s] 	Test After Training: (HR@5:0.3157,NDCG@5:0.2196,HR@10:0.4374,NDCG@10:0.2589,HR@20:0.5755,NDCG@20:0.2938,HR@50:0.7253,NDCG@50:0.3236)
